course_code,course_title,num_ratings,useful,easy,liked,num_reviews,reviews,course_rating,course_rating_int,course_code_Sentiment,course_title_Sentiment,useful_Sentiment,easy_Sentiment,liked_Sentiment,reviews_Sentiment,course_rating_Sentiment
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,go to office hours and practice,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"One of my least favourite courses. Although things were nicely organized, Racket was such an annoying language to use. The one tangible benefit I felt after using Racket was feeling more comfortable with recursion.",disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"It starts with a very low pace but after midterm, it gets really fast and I cannot understand the content while reaching the end of term. Racket is restricted by so many things so I feel I lose the freedom of coding. The assignments are extremely hard after midterm, I spent a whole day on them but I can just solve the easiest one. The only positive impression that I have is that the design recipe weighs half so I pass this course successfully.",disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Took this in 2018 with no programming experience ever. Started out pretty slow, but I didn't really pay attention and was severely behind. Went to a lot of office hours, but nonetheless caught up and did decently well. After taking more cs courses, racket really is a weird language.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"I loved everything about cs 115. Great instructors, fair assignments ( can get tricky but there's a huge amount of office hours to attend ), good engagement and interesting topics! It's seriously well structured and I would recommend it to anyone even with no background in coding.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"I recommend finding a course with a language that is actually useful. Racket is dumb and never used anywhere. The majority of the course was quite easy, except a couple of concept checks that were RIDICULOUSLY HARD. i wish i had realized sooner that you get 10% of concept checks dropped from your grade. if you understand everything and are getting most things easily but you get stumped on one particular concept check, its probably not your fault and you should skip it, at least for now. the course was very well structured and predictable. expectations were clear and reasonable. it actually was designed to be a correspondence course, so it wasnt an online course that was rushed and slapped together for covid.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"I really enjoyed this course online, being co-taught by 4 professors. There were lots of office hours available to help and all of the TA's and Profs in office hours were helpful and kind. While the programming language used is not useful elsewhere, I think it is easy to understand and helped get the point of the course across. In my opinion, the point of this course is to teach you to think about solving problems and the process to go through, as you are not creating ground-breaking programs. As a student with no prior programming experience, I found this course both useful and easy if you kept up with the content and got help as soon as you needed it. The course was organized well, and the built in questions made sure you were on the right track. The assignments are fair based on what you learn. Go in with an open mind and keep up with the content and you should be just fine.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"math student who took this course since I had 0 prior programming experience. the course isn't horribly hard, but if you fall behind or don't understand one lesson, everything following will be super challenging. the course was mostly online completing modules, and my biggest criticism is that solutions for lessons are never posted after they are due which makes it super challenging to do the next week's module if you didn't understand/didnt know how to write a specific code for the week. the racket language used in this course is easy to follow but not very useful and isn't used anywhere. this makes it difficult to find help outside of cs115 profs/ta's/past cs115 students. the course is oddly paced, felt the super easy and simple first half of the course, and then gets unreasonably fast. didn't find any of the profs/ta's answers to questions posted on discussion boards useful at all. because the course was only offered online, I had to essentially had to teach the whole course to myself",disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"The only way to do bad in this course is by not managing ur time properly. This is a mistake I made when we had to work with modules. As long as u properly manage ur time and do assignments and concept checks well before the due date, you will have a great time in this course. Also try finding connections between assignments and try finding some real world applications of racket. Trust me Racket is very useful. The only criticism I have of this course is how the course is taught because it wasn't taught. (this is when I did online.) I had to understand all concepts by myself by basically reading texts. Although There was plenty of opportunity like office hours to ask for help, I only realized that towards the end of the term. Very unfortunate :(",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Can be difficult at times, but a very rewarding and fun course. Definitely made me like CS as a non-CS student! Start assignments early and definitely go to office hours. TAs and ISAs are very helpful.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
